transaction_id,date,account_id,account_type,merchant,category,amount,balance,currency,is_fraud
TXN-001,2024-01-01 08:15:00,ACC-1001,Checking,Walmart,Groceries,125.50,5420.30,USD,0
TXN-002,2024-01-01 12:30:00,ACC-1001,Checking,Shell Gas,Transportation,45.00,5375.30,USD,0
TXN-003,2024-01-01 18:45:00,ACC-1001,Checking,Amazon,Shopping,89.99,5285.31,USD,0
TXN-004,2024-01-02 09:20:00,ACC-1001,Checking,Starbucks,Food & Dining,12.75,5272.56,USD,0
TXN-005,2024-01-02 14:10:00,ACC-1001,Checking,Netflix,Entertainment,15.99,5256.57,USD,0
TXN-006,2024-01-03 10:05:00,ACC-1001,Checking,Target,Shopping,67.80,5188.77,USD,0
TXN-007,2024-01-03 16:30:00,ACC-1001,Checking,Uber,Transportation,22.50,5166.27,USD,0
TXN-008,2024-01-04 11:45:00,ACC-1001,Checking,Whole Foods,Groceries,156.30,5009.97,USD,0
TXN-009,2024-01-04 19:20:00,ACC-1001,Checking,Spotify,Entertainment,9.99,4999.98,USD,0
TXN-010,2024-01-05 08:30:00,ACC-1001,Checking,McDonald's,Food & Dining,18.40,4981.58,USD,0
TXN-011,2024-01-05 13:15:00,ACC-1001,Checking,Best Buy,Electronics,299.99,4681.59,USD,0
TXN-012,2024-01-06 09:00:00,ACC-1001,Checking,CVS Pharmacy,Healthcare,34.99,4646.60,USD,0
TXN-013,2024-01-06 15:45:00,ACC-1001,Checking,Chipotle,Food & Dining,24.50,4622.10,USD,0
TXN-014,2024-01-07 10:30:00,ACC-1001,Checking,Home Depot,Home Improvement,89.95,4532.15,USD,0
TXN-015,2024-01-07 17:00:00,ACC-1001,Checking,Apple Store,Electronics,1299.00,3233.15,USD,0
TXN-016,2024-01-08 08:45:00,ACC-1001,Checking,Dunkin',Food & Dining,8.75,3224.40,USD,0
TXN-017,2024-01-08 14:20:00,ACC-1001,Checking,Costco,Groceries,234.60,2989.80,USD,0
TXN-018,2024-01-09 11:10:00,ACC-1001,Checking,Target,Shopping,45.99,2943.81,USD,0
TXN-019,2024-01-09 18:30:00,ACC-1001,Checking,Lyft,Transportation,15.00,2928.81,USD,0
TXN-020,2024-01-10 09:40:00,ACC-1001,Checking,Walgreens,Healthcare,28.50,2900.31,USD,0
TXN-021,2024-01-10 16:00:00,ACC-1001,Checking,Unknown Merchant,Luxury Goods,15000.00,-12099.69,USD,1
